ITEM,MATERIAL,DESCRIPTION,"Supplier Price
July 2025",Supplier Price Sep 2025,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES
,Epoxy,8.5oz-ea Epoxy Anchor,$36.96,$36.96,15.00%,,$42.50,tubs,Builders First Source BFS Group LLC,Miscelaneous,
,,LUS28 Galvanized,$2.65,$0.00,15.00%,,$3.05,pcs,Builders First Source BFS Group LLC,Hanger,
,,LPC6Z Post Cap Zmax,$8.50,$0.00,15.00%,,$9.78,pcs,Builders First Source BFS Group LLC,Fasteners,
LALLY COLUMNS,Concrete Column,"3-1/2""x10' Concrete column w/2plates",$88.65,$88.65,15.00%,,$101.95,pcs,Builders First Source BFS Group LLC,Lally Column,
,,"3-1/2""x12' Concrete column w/2plates",$104.44,$104.44,15.00%,,$120.11,pcs,Builders First Source BFS Group LLC,Lally Column,
,,"4""x10' Concrete column w/2plates",$109.23,$109.23,15.00%,,$125.61,pcs,Builders First Source BFS Group LLC,Lally Column,
,,"4""x12' Concrete column w/2plates",$129.12,$129.12,15.00%,,$148.49,pcs,Builders First Source BFS Group LLC,Lally Column,
DOUGLAS FIR,,"2x4""-8' Douglas Fir #2",$4.69,$4.69,15.00%,,$5.39,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x4""-10' Douglas Fir #2",$6.19,$5.69,15.00%,,$6.54,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x4""-12' Douglas Fir #2",$7.89,$7.29,15.00%,,$8.38,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x4""-14' Douglas Fir #2",$9.19,$8.69,15.00%,,$9.99,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x4""-16' Douglas Fir #2",$11.69,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x4""-20' Douglas Fir #2",$20.99,$19.50,15.00%,,$22.43,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x6""-8' Douglas Fir #2",$6.89,$7.50,15.00%,,$8.63,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x6""-10' Douglas Fir #2",$8.99,$8.19,15.00%,,$9.42,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x6""-12' Douglas Fir #2",$10.99,$9.50,15.00%,,$10.93,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x6""-14' Douglas Fir #2",$12.69,$11.69,15.00%,,$13.44,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x6""-16' Douglas Fir #2",$16.89,$16.89,15.00%,,$19.42,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x6""-20' Douglas Fir #2",$22.50,$20.99,15.00%,,$24.14,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x8""-8' Douglas Fir #2",$8.29,$8.50,15.00%,,$9.78,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x8""-10' Douglas Fir #2",$9.89,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x8""-12' Douglas Fir #2",$12.89,$12.50,15.00%,,$14.38,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x8""-14' Douglas Fir #2",$15.50,$15.89,15.00%,,$18.27,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x8""-16' Douglas Fir #2",$21.50,$22.50,15.00%,,$25.88,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x8""-24' Douglas Fir #2",$46.50,$44.50,15.00%,,$51.18,pcs,Builders First Source BFS Group LLC,DF Lumber,
